hadron,Q2,x,y,z,phT,Siv,stat,sys,tot_err,1D_dependence,,,
k-,1.3,0.036,0.711,0.338,0.503,-0.0043,0.0291,0.0006,0.029106185,x,,,
k-,1.67,0.056,0.578,0.355,0.417,0.0493,0.027,0.0038,0.027266096,x,,,
k-,2.04,0.074,0.533,0.361,0.381,0.0565,0.0339,0.0079,0.034808332,x,,,
k-,2.44,0.093,0.51,0.367,0.367,0.0216,0.0294,0.0071,0.030245165,x,,,
k-,2.44,0.093,0.51,0.367,0.367,0.0216,0.0294,0.0071,0.030245165,x,,,
k-,3.01,0.118,0.493,0.366,0.362,0.0357,0.0321,0.0081,0.033106193,x,,,
k-,3.89,0.157,0.48,0.365,0.356,0.0381,0.0312,0.0148,0.034532304,x,,,
k-,5.82,0.251,0.451,0.363,0.364,0.0191,0.0372,0.0319,0.049004592,x,,,
k-,2.41,0.082,0.616,0.227,0.362,0.0007,0.0218,0.0063,0.022692069,z,,,
k-,2.41,0.087,0.582,0.287,0.389,0.0357,0.0233,0.0046,0.023749737,z,,,
k-,2.4,0.091,0.557,0.347,0.419,-0.0098,0.0259,0.0031,0.026084862,z,,,
k-,2.37,0.092,0.542,0.411,0.44,0.0646,0.0285,0.0022,0.028584786,z,,,
k-,2.29,0.091,0.534,0.482,0.46,0.0565,0.0335,0.0025,0.033593154,z,,,
k-,2.29,0.091,0.534,0.482,0.46,0.0565,0.0335,0.0025,0.033593154,z,,,
k-,2.34,0.093,0.531,0.556,0.465,0.063,0.0411,0.0136,0.043291685,z,,,
k-,2.33,0.094,0.52,0.642,0.493,0.0423,0.0504,0.0173,0.05328649,z,,,
k-,2.28,0.093,0.506,0.726,0.5,0.2062,0.0882,0.014,0.089304199,z,,,
k-,2.3,0.096,0.482,0.793,0.464,0.1303,0.1367,0.024,0.138790814,z,,,
k-,2.47,0.103,0.477,0.337,0.111,-0.0011,0.0284,0.019,0.034169577,phT,,,
k-,2.48,0.1,0.513,0.346,0.21,0.0928,0.0312,0.0147,0.034489564,phT,,,
k-,2.48,0.096,0.54,0.346,0.28,0.005,0.036,0.01,0.037363083,phT,,,
k-,2.39,0.089,0.566,0.351,0.345,0.0253,0.0334,0.006,0.033934643,phT,,,
k-,2.39,0.089,0.566,0.351,0.345,0.0253,0.0334,0.006,0.033934643,phT,,,
k-,2.32,0.084,0.592,0.348,0.447,0.0269,0.0242,0.0026,0.024339269,phT,,,
k-,2.31,0.08,0.62,0.358,0.597,0.0193,0.0265,0.0085,0.02782984,phT,,,
k-,2.26,0.073,0.661,0.409,0.856,0.0501,0.0288,0.0119,0.031161675,phT,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
